Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2019",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,City of West Lafayette,"49,154",32 ,0 ,5 ,3 ,24 ,357 ,42 ,304 ,11 
,Total area actually reporting,83.1%,451 ,8 ,67 ,69 ,307 ,"3,573 ",580 ,"2,778 ",215 
,Estimated total,100.0%,520 ,8 ,73 ,78 ,361 ,"3,960 ",649 ,"3,059 ",252 
,"Rate per 100,000 inhabitants",,223.0,3.4,31.3,33.5,154.8,"1,698.6",278.4,"1,312.1",108.1
"Lake Charles, LA M.S.A.",,"210,155", ,,,,, ,,,
,Includes Calcasieu and Cameron Parishes,,,,,,,,,,
,City of Lake Charles,"78,733",413 ,11 ,52 ,83 ,267 ,"2,907 ","1,212 ","1,467 ",228 
,Total area actually reporting,95.2%,"1,099 ",15 ,144 ,128 ,812 ,"7,991 ","2,311 ","5,073 ",607 
,Estimated total,100.0%,"1,151 ",19 ,145 ,130 ,857 ,"8,189 ","2,349 ","5,222 ",618 
,"Rate per 100,000 inhabitants",,547.7,9.0,69.0,61.9,407.8,"3,896.6","1,117.7","2,484.8",294.1
"Lake Havasu City-Kingman, AZ M.S.A.",,"210,855", ,,,,, ,,,
,Includes Mohave County,,,,,,,,,,
,City of Lake Havasu City,"55,413",87 ,1 ,29 ,3 ,54 ,670 ,108 ,519 ,43 
,City of Kingman,"30,600",100 ,0 ,9 ,12 ,79 ,"1,342 ",208 ,"1,039 ",95 
,Total area actually reporting,97.7%,452 ,6 ,67 ,59 ,320 ,"5,347 ","1,124 ","3,736 ",487 
,Estimated total,100.0%,485 ,6 ,69 ,63 ,347 ,"5,564 ","1,171 ","3,887 ",506 
,"Rate per 100,000 inhabitants",,230.0,2.8,32.7,29.9,164.6,"2,638.8",555.4,"1,843.4",240.0
"Lakeland-Winter Haven, FL M.S.A.",,"717,190",,,,,,,,,
,Includes Polk County,, ,,,,,,,,
,City of Lakeland,"112,237",350 ,7 ,63 ,97 ,183 ,"3,230 ",438 ,"2,589 ",203 
,City of Winter Haven,"44,211",187 ,3 ,22 ,25 ,137 ,"1,126 ",181 ,884 ,61 
,Total area actually reporting,100.0%,"1,990 ",23 ,166 ,300 ,"1,501 ","11,797 ","1,947 ","8,914 ",936 
,"Rate per 100,000 inhabitants",,277.5,3.2,23.1,41.8,209.3,"1,644.9",271.5,"1,242.9",130.5
"Lansing-East Lansing, MI M.S.A.4",,"550,643",,,,,,,,,
,"Includes Clinton, Eaton, Ingham, and Shiawassee Counties",, ,,,,,,,,
,City of Lansing,"118,953","1,313 ",12 ,140 ,178 ,983 ,"3,355 ",763 ,"2,225 ",367 
,City of East Lansing,"47,913",88 ,0 ,40 ,11 ,37 ,840 ,113 ,563 ,164 
,Total area actually reporting,100.0%,"2,367 ",19 ,489 ,268 ,"1,591 ",,,"6,637 ",864 
,"Rate per 100,000 inhabitants",,429.9,3.5,88.8,48.7,288.9,,,"1,205.3",156.9
"Laredo, TX M.S.A.3",,"277,386", ,,,,, ,,,
,Includes Webb County,,,,,,,,,,
,City of Laredo3,"264,916",836 ,4 ,104 ,164 ,564 ,"4,692 ",708 ,"3,726 ",258 
,Total area actually reporting,98.3%,882 ,6 ,108 ,167 ,601 ,"4,944 ",767 ,"3,862 ",315 
,Estimated total,100.0%,893 ,6 ,110 ,168 ,609 ,"5,037 ",782 ,"3,932 ",323 
,"Rate per 100,000 inhabitants",,321.9,2.2,39.7,60.6,219.5,"1,815.9",281.9,"1,417.5",116.4
"Las Cruces, NM M.S.A.",,"218,180", ,,,,, ,,,
,Includes Dona Ana County,,,,,,,,,,
,City of Las Cruces,"103,520",514 ,10 ,64 ,57 ,383 ,"3,707 ",654 ,"2,746 ",307 
,Estimated total,100.0%,"1,215 ",12 ,124 ,69 ,"1,010 ","5,049 ","1,070 ","3,548 ",431 
,"Rate per 100,000 inhabitants",,556.9,5.5,56.8,31.6,462.9,"2,314.1",490.4,"1,626.2",197.5
"Las Vegas-Henderson-Paradise, NV M.S.A.",,"2,270,103",,,,,,,,,
,Includes Clark County,, ,,,,,,,,
,City of Las Vegas Metropolitan Police Department,"1,666,803","8,854 ",84 ,"1,439 ","2,118 ","5,213 ","46,197 ","10,646 ","28,240 ","7,311 "
,City of Henderson,"317,732",543 ,9 ,75 ,191 ,268 ,"5,554 ",907 ,"4,093 ",554 
,Total area actually reporting,100.0%,"11,935 ",112 ,"1,661 ","2,808 ","7,354 ","58,207 ","13,003 ","36,145 ","9,059 "
,"Rate per 100,000 inhabitants",,525.7,4.9,73.2,123.7,324.0,"2,564.1",572.8,"1,592.2",399.1
"Lawton, OK M.S.A.3",,"125,205", ,,,,, ,,,
,Includes Comanche and Cotton Counties,,,,,,,,,,
,City of Lawton,"92,256",854 ,15 ,97 ,91 ,651 ,"2,972 ",877 ,"1,836 ",259 
,Total area actually reporting,100.0%,897 ,16 ,105 ,96 ,680 ,"3,338 ","1,010 ","2,016 ",312 
,"Rate per 100,000 inhabitants",,716.4,12.8,83.9,76.7,543.1,"2,666.0",806.7,"1,610.2",249.2
"Lebanon, PA M.S.A.",,"142,102", ,,,,, ,,,
,Includes Lebanon County,,,,,,,,,,
,City of Lebanon,"25,959",65 ,1 ,5 ,21 ,38 ,528 ,77 ,430 ,21 
,Total area actually reporting,97.9%,233 ,1 ,35 ,22 ,175 ,"1,653 ",189 ,"1,420 ",44 
,Estimated total,100.0%,237 ,1 ,35 ,22 ,179 ,"1,683 ",192 ,"1,445 ",46 
,"Rate per 100,000 inhabitants",,166.8,0.7,24.6,15.5,126.0,"1,184.4",135.1,"1,016.9",32.4
"Lewiston, ID-WA M.S.A.",,"63,370",,,,,,,,,
,"Includes Nez Perce County, ID and Asotin County, WA",, ,,,,,,,,
,"City of Lewiston, ID","32,931",42 ,0 ,15 ,2 ,25 ,955 ,145 ,755 ,55 
,Total area actually reporting,100.0%,88 ,1 ,30 ,6 ,51 ,"1,525 ",239 ,"1,207 ",79 
,"Rate per 100,000 inhabitants",,138.9,1.6,47.3,9.5,80.5,"2,406.5",377.2,"1,904.7",124.7
"Lewiston-Auburn, ME M.S.A.",,"108,026",,,,,,,,,
,Includes Androscoggin County,, ,,,,,,,,
,City of Lewiston,"35,865",107 ,0 ,31 ,18 ,58 ,716 ,122 ,555 ,39 
,City of Auburn,"23,214",34 ,1 ,13 ,5 ,15 ,511 ,56 ,445 ,10 
,Total area actually reporting,100.0%,186 ,1 ,65 ,25 ,95 ,"1,454 ",219 ,"1,170 ",65 
,"Rate per 100,000 inhabitants",,172.2,0.9,60.2,23.1,87.9,"1,346.0",202.7,"1,083.1",60.2
"Lexington-Fayette, KY M.S.A.",,"520,442", ,,,,, ,,,
,"Includes Bourbon, Clark, Fayette, Jessamine, Scott, and Woodford Counties",,,,,,,,,,
,City of Lexington,"326,070",967 ,26 ,175 ,362 ,404 ,"9,776 ","1,537 ","7,333 ",906 
,Total area actually reporting,100.0%,"1,200 ",27 ,235 ,417 ,521 ,"14,148 ","2,156 ","10,732 ","1,260 "
,"Rate per 100,000 inhabitants",,230.6,5.2,45.2,80.1,100.1,"2,718.5",414.3,"2,062.1",242.1
"Lima, OH M.S.A.2",,"102,023", ,,,,, ,,,
,Includes Allen County,,,,,,,,,,
,City of Lima,"36,653",259 ,4 ,59 ,64 ,132 ,"1,493 ",392 ,"1,037 ",64 
,Total area actually reporting,93.8%,311 ,5 ,76 ,80 ,150 ,"2,374 ",543 ,"1,724 ",107 
,Estimated total,100.0%,322 ,5 ,79 ,82 ,156 ,"2,480 ",558 ,"1,810 ",112 
,"Rate per 100,000 inhabitants",,315.6,4.9,77.4,80.4,152.9,"2,430.8",546.9,"1,774.1",109.8
"Lincoln, NE M.S.A.",,"337,340", ,,,,, ,,,
,Includes Lancaster and Seward Counties,,,,,,,,,,
,City of Lincoln,"291,128","1,115 ",5 ,323 ,166 ,621 ,"8,008 ",988 ,"6,566 ",454 
,Total area actually reporting,99.4%,"1,149 ",5 ,345 ,166 ,633 ,"8,394 ","1,043 ","6,863 ",488 
,Estimated total,100.0%,"1,170 ",5 ,359 ,166 ,640 ,"8,423 ","1,043 ","6,892 ",488 
,"Rate per 100,000 inhabitants",,346.8,1.5,106.4,49.2,189.7,"2,496.9",309.2,"2,043.0",144.7
"Little Rock-North Little Rock-Conway, AR M.S.A.4",,"743,875",,,,,,,,,
,"Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline4 Counties",,,,,,,,,,
,City of Little Rock,"198,382","3,009 ",38 ,209 ,391 ,"2,371 ","12,145 ","1,760 ","9,316 ","1,069 "
,City of North Little Rock,"66,604",562 ,12 ,23 ,106 ,421 ,"2,479 ",380 ,"1,723 ",376 
,City of Conway,"67,336",324 ,2 ,49 ,51 ,222 ,"1,842 ",177 ,"1,567 ",98 
,Total area actually reporting,99.9%,"5,815 ",75 ,539 ,689 ,"4,512 ",,,,"2,586 "
,Estimated total,100.0%,"5,819 ",75 ,540 ,689 ,"4,515 ",,,,"2,587 "
,"Rate per 100,000 inhabitants",,782.3,10.1,72.6,92.6,607.0,,,,347.8
"Logan, UT-ID M.S.A.",,"142,499", ,,,,, ,,,
,"Includes Franklin County, ID and Cache County, UT",,,,,,,,,,
,"City of Logan, UT","52,029",113 ,3 ,35 ,5 ,70 ,691 ,105 ,549 ,37 
,Total area actually reporting,91.5%,169 ,6 ,70 ,6 ,87 ,"1,163 ",173 ,899 ,91 
,Estimated total,100.0%,183 ,6 ,75 ,7 ,95 ,"1,313 ",195 ,"1,014 ",104 
,"Rate per 100,000 inhabitants",,128.4,4.2,52.6,4.9,66.7,921.4,136.8,711.6,73.0
"Longview, TX M.S.A.3, 4",,"285,060",,,,,,,,,
,"Includes Gregg, Harrison, Rusk, and Upshur Counties",,,,,,,,,,
,City of Longview,"81,783",374 ,4 ,62 ,63 ,245 ,"2,410 ",411 ,"1,809 ",190 
,Total area actually reporting,99.7%,922 ,20 ,128 ,113 ,661 ,,"1,362 ",,529 
,Estimated total,100.0%,924 ,20 ,128 ,113 ,663 ,,"1,365 ",,530 
,"Rate per 100,000 inhabitants",,324.1,7.0,44.9,39.6,232.6,,478.8,,185.9
"Longview, WA M.S.A.",,"109,465",,,,,,,,,
,Includes Cowlitz County,, ,,,,,,,,
,City of Longview,"38,282",101 ,1 ,30 ,19 ,51 ,"1,102 ",159 ,841 ,102 
,Total area actually reporting,100.0%,213 ,5 ,71 ,26 ,111 ,"2,054 ",343 ,"1,521 ",190 
,"Rate per 100,000 inhabitants",,194.6,4.6,64.9,23.8,101.4,"1,876.4",313.3,"1,389.5",173.6
"Los Angeles-Long Beach-Anaheim, CA M.S.A.",,"13,236,726",,,,,,,,,
,Includes the Metropolitan Divisions of Anaheim-Santa Ana-Irvine and Los Angeles-Long Beach-Glendale ,,,,,,,,,,
,City of Los Angeles,"4,015,546","29,400 ",258 ,"2,274 ","9,652 ","17,216 ","95,704 ","13,809 ","66,253 ","15,642 "
,City of Long Beach,"467,974","2,369 ",34 ,249 ,958 ,"1,128 ","11,297 ","2,185 ","6,754 ","2,358 "
,City of Anaheim,"353,915","1,120 ",8 ,141 ,396 ,575 ,"8,258 ","1,123 ","5,904 ","1,231 "
,City of Santa Ana,"333,664","1,453 ",13 ,207 ,472 ,761 ,"6,808 ",854 ,"4,611 ","1,343 "
,City of Irvine,"292,673",188 ,1 ,52 ,66 ,69 ,"3,823 ",574 ,"3,086 ",163 
,City of Glendale,"202,601",231 ,5 ,16 ,93 ,117 ,"3,305 ",480 ,"2,562 ",263 
,City of Torrance,"145,183",280 ,3 ,26 ,114 ,137 ,"2,853 ",399 ,"2,161 ",293 
,City of Pasadena,"141,913",613 ,4 ,46 ,147 ,416 ,"2,866 ",570 ,"2,036 ",260 
,City of Orange,"139,830",180 ,3 ,18 ,76 ,83 ,"2,184 ",387 ,"1,546 ",251 
,City of Costa Mesa,"114,047",312 ,0 ,52 ,104 ,156 ,"3,739 ",450 ,"2,934 ",355 
,City of Burbank,"103,738",189 ,1 ,11 ,54 ,123 ,"2,617 ",299 ,"2,107 ",211 
,City of Carson,"91,947",444 ,5 ,31 ,122 ,286 ,"2,004 ",328 ,"1,277 ",399 
,City of Santa Monica,"91,621",664 ,3 ,40 ,247 ,374 ,"3,964 ",577 ,"3,143 ",244 
,City of Newport Beach,"85,325",135 ,5 ,29 ,32 ,69 ,"1,764 ",273 ,"1,344 ",147 
,City of Tustin,"80,356",141 ,1 ,16 ,61 ,63 ,"2,118 ",241 ,"1,694 ",183 
,City of Gardena,"59,833",324 ,3 ,20 ,131 ,170 ,"1,202 ",236 ,658 ,308 
,City of Arcadia,"58,899",84 ,1 ,10 ,35 ,38 ,"1,348 ",301 ,973 ,74 
,City of Fountain Valley,"55,858",53 ,0 ,5 ,23 ,25 ,"1,163 ",163 ,914 ,86 
,Total area actually reporting,100.0%,"63,201 ",565 ,"5,063 ","20,816 ","36,757 ","283,364 ","46,511 ","192,723 ","44,130 "
,"Rate per 100,000 inhabitants",,477.5,4.3,38.2,157.3,277.7,"2,140.7",351.4,"1,456.0",333.4
"Anaheim-Santa Ana-Irvine, CA M.D.",,"3,180,759",,,,,,,,,
,Includes Orange County,,,,,,,,,,
,Total area actually reporting,100.0%,"6,797 ",57 ,894 ,"2,209 ","3,637 ","59,186 ","8,529 ","43,956 ","6,701 "
,"Rate per 100,000 inhabitants",,213.7,1.8,28.1,69.4,114.3,"1,860.8",268.1,"1,381.9",210.7
"Los Angeles-Long Beach-Glendale, CA M.D.",,"10,055,967",,,,,,,,,
,Includes Los Angeles County,,,,,,,,,,
,Total area actually reporting,100.0%,"56,404 ",508 ,"4,169 ","18,607 ","33,120 ","224,178 ","37,982 ","148,767 ","37,429 "
,"Rate per 100,000 inhabitants",,560.9,5.1,41.5,185.0,329.4,"2,229.3",377.7,"1,479.4",372.2
"Louisville/Jefferson County, KY-IN M.S.A.",,"1,269,402", ,,,,, ,,,
,"Includes Clark, Floyd, Harrison, and Washington Counties, IN and Bullitt, Henry, Jefferson, Oldham, Shelby, and Spencer Counties, KY",,,,,,,,,,
,"City of Louisville Metro, KY","675,501","4,640 ",94 ,201 ,"1,008 ","3,337 ","26,287 ","4,316 ","18,037 ","3,934 "
,Total area actually reporting,90.7%,"5,345 ",103 ,306 ,"1,159 ","3,777 ","34,835 ","5,482 ","24,355 ","4,998 "
,Estimated total,100.0%,"5,545 ",105 ,330 ,"1,191 ","3,919 ","36,356 ","5,686 ","25,538 ","5,132 "
,"Rate per 100,000 inhabitants",,436.8,8.3,26.0,93.8,308.7,"2,864.0",447.9,"2,011.8",404.3
"Lubbock, TX M.S.A.3",,"320,574", ,,,,, ,,,
,"Includes Crosby, Lubbock, and Lynn3 Counties",,,,,,,,,,
,City of Lubbock,"259,208","2,613 ",10 ,268 ,468 ,"1,867 ","11,940 ","2,391 ","8,324 ","1,225 "
,Total area actually reporting,99.0%,"2,682 ",11 ,285 ,472 ,"1,914 ","12,898 ","2,601 ","8,971 ","1,326 "
,Estimated total,100.0%,"2,688 ",11 ,285 ,472 ,"1,920 ","12,941 ","2,609 ","9,001 ","1,331 "
,"Rate per 100,000 inhabitants",,838.5,3.4,88.9,147.2,598.9,"4,036.8",813.9,"2,807.8",415.2
"Lynchburg, VA M.S.A.",,"263,190", ,,,,, ,,,
,"Includes Amherst, Appomattox, Bedford, and Campbell Counties and Lynchburg City",,,,,,,,,,
,City of Lynchburg,"82,512",316 ,2 ,35 ,60 ,219 ,"1,802 ",261 ,"1,382 ",159 
,Total area actually reporting,100.0%,607 ,10 ,80 ,80 ,437 ,"3,832 ",541 ,"3,010 ",281 
,"Rate per 100,000 inhabitants",,230.6,3.8,30.4,30.4,166.0,"1,456.0",205.6,"1,143.7",106.8
"Macon-Bibb County, GA M.S.A.3",,"229,193", ,,,,, ,,,
,"Includes Bibb, Crawford, Jones, Monroe, and Twiggs Counties3",,,,,,,,,,
,Total area actually reporting,100.0%,"1,042 ",21 ,56 ,298 ,667 ,"7,931 ","1,645 ","5,589 ",697 
,"Rate per 100,000 inhabitants",,454.6,9.2,24.4,130.0,291.0,"3,460.4",717.7,"2,438.6",304.1
"Madera, CA M.S.A.",,"157,191", ,,,,, ,,,
,Includes Madera County,,,,,,,,,,
,City of Madera,"66,250",334 ,2 ,32 ,77 ,223 ,"1,301 ",235 ,824 ,242 
,Total area actually reporting,100.0%,830 ,3 ,68 ,94 ,665 ,"2,693 ",682 ,"1,595 ",416 
,"Rate per 100,000 inhabitants",,528.0,1.9,43.3,59.8,423.1,"1,713.2",433.9,"1,014.7",264.6
"Madison, WI M.S.A.3",,"666,719", ,,,,, ,,,
,"Includes Columbia, Dane, Green,3 and Iowa Counties",,,,,,,,,,
,City of Madison,"261,270",940 ,4 ,107 ,217 ,612 ,"6,464 ","1,046 ","4,873 ",545 
,Total area actually reporting,99.9%,"1,445 ",8 ,201 ,291 ,945 ,"11,164 ","1,686 ","8,594 ",884 
,Estimated total,100.0%,"1,452 ",8 ,207 ,291 ,946 ,"11,432 ","1,733 ","8,811 ",888 
,"Rate per 100,000 inhabitants",,217.8,1.2,31.0,43.6,141.9,"1,714.7",259.9,"1,321.5",133.2
"Manchester-Nashua, NH M.S.A.",,"416,493",,,,,,,,,
,Includes Hillsborough County,, ,,,,,,,,
,City of Manchester,"112,895",678 ,6 ,62 ,133 ,477 ,"2,678 ",299 ,"2,225 ",154 
,City of Nashua,"89,586",129 ,1 ,69 ,20 ,39 ,"1,151 ",81 ,"1,016 ",54 
,Total area actually reporting,98.3%,942 ,11 ,186 ,168 ,577 ,"5,147 ",537 ,"4,344 ",266 
,Estimated total,100.0%,957 ,11 ,190 ,170 ,586 ,"5,435 ",546 ,"4,621 ",268 
,"Rate per 100,000 inhabitants",,229.8,2.6,45.6,40.8,140.7,"1,304.9",131.1,"1,109.5",64.3
"Manhattan, KS M.S.A.4",,"130,661",,,,,,,,,
,"Includes Geary, Pottawatomie, and Riley4 Counties",, ,,,,,,,,
,Total area actually reporting,100.0%,563 ,4 ,67 ,41 ,451 ,,,"1,701 ",170 
,"Rate per 100,000 inhabitants",,430.9,3.1,51.3,31.4,345.2,,,"1,301.8",130.1
"Mankato, MN M.S.A.3",,"102,065",,,,,,,,,
,Includes Blue Earth and Nicollet Counties,, ,,,,,,,,
,City of Mankato,"42,955",110 ,0 ,29 ,12 ,69 ,"1,462 ",186 ,"1,217 ",59 
,Total area actually reporting,100.0%,182 ,0 ,58 ,15 ,109 ,"1,938 ",267 ,"1,579 ",92 
,"Rate per 100,000 inhabitants",,178.3,0.0,56.8,14.7,106.8,"1,898.8",261.6,"1,547.1",90.1
"Mansfield, OH M.S.A.",,"120,502",,,,,, ,,,
,Includes Richland County,,,,,,,,,,
,City of Mansfield,"46,418",187 ,3 ,48 ,38 ,98 ,"1,996 ",396 ,"1,523 ",77 
,Total area actually reporting,98.5%,272 ,4 ,90 ,46 ,132 ,"3,250 ",618 ,"2,514 ",118 
,Estimated total,100.0%,276 ,4 ,91 ,47 ,134 ,"3,309 ",622 ,"2,567 ",120 
,"Rate per 100,000 inhabitants",,229.0,3.3,75.5,39.0,111.2,"2,746.0",516.2,"2,130.3",99.6
"McAllen-Edinburg-Mission, TX M.S.A.3",,"871,926",,,,,,,,,
,Includes Hidalgo County3,,,,,,,,,,
,City of McAllen,"144,915",140 ,1 ,33 ,39 ,67 ,"3,595 ",152 ,"3,415 ",28 
,City of Edinburg,"100,896",281 ,6 ,53 ,40 ,182 ,"2,959 ",335 ,"2,577 ",47 
,City of Mission,"85,705",105 ,1 ,37 ,23 ,44 ,"1,618 ",161 ,"1,387 ",70 
,Total area actually reporting,99.0%,"2,324 ",19 ,433 ,334 ,"1,538 ","19,108 ","2,505 ","15,830 ",773 
,Estimated total,100.0%,"2,345 ",19 ,436 ,337 ,"1,553 ","19,284 ","2,533 ","15,963 ",788 
,"Rate per 100,000 inhabitants",,268.9,2.2,50.0,38.7,178.1,"2,211.7",290.5,"1,830.8",90.4
"Memphis, TN-MS-AR M.S.A.2, 3",,"1,344,796", ,,,,, ,,,
,"Includes Crittenden County, AR; DeSoto, Marshall, Tate, and Tunica2 Counties, MS; and Fayette, Shelby, and Tipton Counties, TN",,,,,,,,,,
,"City of Memphis, TN","650,410","12,367 ",190 ,468 ,"2,432 ","9,277 ","39,860 ","7,833 ","27,981 ","4,046 "
,Total area actually reporting,95.8%,"14,888 ",235 ,668 ,"2,777 ","11,208 ","53,652 ","10,136 ","37,935 ","5,581 "
,Estimated total,100.0%,"15,068 ",237 ,706 ,"2,785 ","11,340 ","54,510 ","10,341 ","38,501 ","5,668 "
,"Rate per 100,000 inhabitants",,"1,120.5",17.6,52.5,207.1,843.3,"4,053.4",769.0,"2,863.0",421.5
"Merced, CA M.S.A.",,"274,771", ,,,,, ,,,
,Includes Merced County,,,,,,,,,,
,City of Merced,"83,854",540 ,5 ,34 ,103 ,398 ,"2,342 ",396 ,"1,439 ",507 
,Total area actually reporting,100.0%,"1,520 ",12 ,82 ,202 ,"1,224 ","6,898 ","1,418 ","4,089 ","1,391 "
,"Rate per 100,000 inhabitants",,553.2,4.4,29.8,73.5,445.5,"2,510.5",516.1,"1,488.1",506.2
"Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",,"6,235,390",,,,,,,,,
,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Sunrise, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach",,,,,,,,,,
,City of Miami,"480,505","2,850 ",43 ,152 ,769 ,"1,886 ","17,624 ","1,771 ","14,219 ","1,634 "
,City of Fort Lauderdale,"184,765","1,098 ",21 ,93 ,408 ,576 ,"9,082 ","1,275 ","6,945 ",862 
,City of Pompano Beach,"113,536",900 ,8 ,73 ,317 ,502 ,"4,277 ",661 ,"3,058 ",558 
,City of West Palm Beach,"112,798",859 ,17 ,79 ,304 ,459 ,"4,231 ",464 ,"3,314 ",453 
,City of Boca Raton,"101,163",186 ,3 ,36 ,63 ,84 ,"2,183 ",244 ,"1,769 ",170 
,City of Sunrise,"96,919",191 ,4 ,17 ,63 ,107 ,"2,014 ",157 ,"1,673 ",184 
,City of Miami Beach,"92,185",852 ,6 ,92 ,284 ,470 ,"6,977 ",717 ,"5,894 ",366 
,City of Deerfield Beach,"81,602",351 ,6 ,31 ,99 ,215 ,"2,161 ",211 ,"1,703 ",247 
,City of Boynton Beach,"79,360",566 ,4 ,30 ,120 ,412 ,"2,618 ",254 ,"2,147 ",217 
,City of Delray Beach,"70,509",336 ,5 ,33 ,87 ,211 ,"2,418 ",299 ,"1,914 ",205 
,City of Jupiter,"66,906",118 ,2 ,17 ,22 ,77 ,"1,035 ",79 ,895 ,61 
,City of Doral,"64,168",62 ,1 ,9 ,13 ,39 ,"1,475 ",66 ,"1,287 ",122 
,City of Palm Beach Gardens,"57,236",78 ,1 ,9 ,22 ,46 ,"1,295 ",71 ,"1,173 ",51 
,City of Coral Gables,"51,530",50 ,0 ,4 ,17 ,29 ,"1,343 ",157 ,"1,103 ",83 
,Total area actually reporting,100.0%,"26,314 ",399 ,"2,208 ","7,107 ","16,600 ","167,498 ","16,910 ","135,086 ","15,502 "
,"Rate per 100,000 inhabitants",,422.0,6.4,35.4,114.0,266.2,"2,686.2",271.2,"2,166.4",248.6
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL M.D.",,"1,963,433",,,,,,,,,
,Includes Broward County,,,,,,,,,,
,Total area actually reporting,100.0%,"7,332 ",110 ,692 ,"2,134 ","4,396 ","50,026 ","5,481 ","39,400 ","5,145 "
,"Rate per 100,000 inhabitants",,373.4,5.6,35.2,108.7,223.9,"2,547.9",279.2,"2,006.7",262.0
"Miami-Miami Beach-Kendall, FL M.D.",,"2,775,173",,,,,,,,,
,Includes Miami-Dade County,,,,,,,,,,
,Total area actually reporting,100.0%,"13,339 ",202 ,955 ,"3,649 ","8,533 ","85,544 ","7,936 ","69,952 ","7,656 "
,"Rate per 100,000 inhabitants",,480.7,7.3,34.4,131.5,307.5,"3,082.5",286.0,"2,520.6",275.9
"West Palm Beach-Boca Raton-Boynton Beach, FL M.D.",,"1,496,784",,,,,,,,,
,Includes Palm Beach County,,,,,,,,,,
,Total area actually reporting,100.0%,"5,643 ",87 ,561 ,"1,324 ","3,671 ","31,928 ","3,493 ","25,734 ","2,701 "
,"Rate per 100,000 inhabitants",,377.0,5.8,37.5,88.5,245.3,"2,133.1",233.4,"1,719.3",180.5
"Midland, MI M.S.A.",,"82,943", ,,,,, ,,,
,Includes Midland County,,,,,,,,,,
,City of Midland,"41,791",56 ,1 ,21 ,4 ,30 ,392 ,36 ,344 ,12 
,Total area actually reporting,100.0%,118 ,1 ,58 ,4 ,55 ,660 ,92 ,545 ,23 
,"Rate per 100,000 inhabitants",,142.3,1.2,69.9,4.8,66.3,795.7,110.9,657.1,27.7
"Milwaukee-Waukesha, WI M.S.A.3",,"1,576,634",,,,,,,,,
,"Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties",,,,,,,,,,
,City of Milwaukee,"590,923","7,874 ",97 ,427 ,"1,911 ","5,439 ","15,097 ","3,594 ","8,053 ","3,450 "
,City of Waukesha,"72,718",67 ,1 ,25 ,8 ,33 ,690 ,77 ,575 ,38 
,Total area actually reporting,100.0%,"9,111 ",111 ,631 ,"2,151 ","6,218 ","30,333 ","4,820 ","21,346 ","4,167 "
,"Rate per 100,000 inhabitants",,577.9,7.0,40.0,136.4,394.4,"1,923.9",305.7,"1,353.9",264.3
"Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.3",,"3,643,083",,,,,,,,,
,"Includes Anoka,3 Carver, Chisago, Dakota, Hennepin, Isanti, Le Sueur, Mille Lacs, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN and Pierce and St. Croix Counties, WI",,,,,,,,,,
,"City of Minneapolis, MN3","431,016","3,990 ",46 ,459 ,"1,289 ","2,196 ","19,469 ","3,397 ","13,172 ","2,900 "
,"City of St. Paul, MN","310,263","1,752 ",28 ,236 ,542 ,946 ,"11,208 ","2,038 ","6,751 ","2,419 "
,"City of Bloomington, MN","85,902",203 ,3 ,54 ,61 ,85 ,"3,079 ",183 ,"2,731 ",165 
,"City of Plymouth, MN","80,616",37 ,0 ,8 ,5 ,24 ,938 ,152 ,742 ,44 
,"City of Eagan, MN","66,824",39 ,0 ,12 ,12 ,15 ,"1,294 ",93 ,"1,129 ",72 
,"City of Eden Prairie, MN","64,777",52 ,0 ,13 ,14 ,25 ,700 ,68 ,610 ,22 
,"City of Minnetonka, MN","54,497",30 ,0 ,8 ,7 ,15 ,772 ,91 ,643 ,38 
,"City of Edina, MN","53,076",47 ,0 ,15 ,15 ,17 ,983 ,140 ,794 ,49 
,Total area actually reporting,99.9%,"9,923 ",97 ,"1,626 ","2,851 ","5,349 ","84,941 ","11,059 ","64,891 ","8,991 "
,Estimated total,100.0%,"9,926 ",97 ,"1,627 ","2,851 ","5,351 ","84,987 ","11,062 ","64,932 ","8,993 "
,"Rate per 100,000 inhabitants",,272.5,2.7,44.7,78.3,146.9,"2,332.8",303.6,"1,782.3",246.9
"Missoula, MT M.S.A.",,"119,655", ,,,,, ,,,
,Includes Missoula County,,,,,,,,,,
,City of Missoula,"75,422",310 ,3 ,75 ,27 ,205 ,"3,082 ",342 ,"2,565 ",175 
,Total area actually reporting,100.0%,418 ,3 ,88 ,28 ,299 ,"3,355 ",410 ,"2,740 ",205 
,"Rate per 100,000 inhabitants",,349.3,2.5,73.5,23.4,249.9,"2,803.9",342.7,"2,289.9",171.3
